
     Force(N)        Displ(mm)     Strain(%)
             3      0.000000      0.000267 
             3      0.000000      0.000133 
             3      0.000000      0.000267 
             3      0.000000      0.000267 
             3      0.000000      0.000267 
             3      0.000000      0.000267 
             3      0.000000      0.000267 
             3      0.000000      0.000267 
             5      0.000000      0.000267 
             3      0.000000      0.000267 
             3      0.000000      0.000267 
             5      0.000000      0.000267 
             5      0.000000      0.000267 
             5      0.000000      0.000267 
             5      0.000000      0.000267 
             5      0.000000      0.000267 
             5      0.000000      0.000267 
             5      0.000000      0.000267 
             5      0.000000      0.000267 
             5      0.000000      0.000267 
             5      0.000000      0.000267 
             5      0.000000      0.000400 
             5      0.000000     -0.000133 
             5      0.000000      0.000000 
             5      0.000000      0.000000 
          -350      0.000000     -0.000133 
          -100      0.000000      0.000000 
             0      0.000000      0.000000 
             0      0.000000     -0.000133 
             0      0.000000      0.000000 
             0      0.000000      0.000133 
             0      0.000000      0.000133 
             0      0.000000      0.000133 
             0      0.000000      0.000133 
             0      0.000000      0.000133 
             2      0.000000      0.000133 
             0      0.000000      0.000133 
             2      0.000000      0.000267 
             2      0.000000      0.000133 
             2      0.000000      0.000133 
             2      0.000000      0.000267 
             2      0.000000      0.000267 
             2      0.000000      0.000267 
             2      0.000000      0.000267 
             2      0.000000      0.000267 
             0      0.000000      0.000133 
             2      0.000000      0.000133 
             2      0.000000      0.000267 
             2      0.000000      0.000267 
             2      0.000000      0.000267 
            63      0.011000      0.001067 
            97      0.029000      0.001067 
           118      0.047000      0.001200 
           143      0.065000      0.001333 
           168      0.083000      0.001467 
           207      0.100000      0.001600 
           257      0.118000      0.002267 
           322      0.135000      0.003067 
           388      0.152000      0.004000 
           460      0.170000      0.005067 
           545      0.189000      0.006133 
           632      0.206000      0.007333 
           737      0.224000      0.008800 
           850      0.242000      0.010533 
           977      0.259000      0.012400 
          1112      0.276000      0.014533 
          1262      0.293000      0.017067 
          1427      0.312000      0.019867 
          1583      0.329000      0.022533 
          1752      0.347000      0.025467 
          1927      0.365000      0.028533 
          2112      0.383000      0.031733 
          2318      0.401000      0.035067 
          2517      0.418000      0.038533 
          2735      0.436000      0.042267 
          2963      0.454000      0.046267 
          3202      0.471000      0.050400 
          3455      0.489000      0.054933 
          3713      0.507000      0.059333 
          3978      0.525000      0.064000 
          4263      0.543000      0.069200 
          4537      0.561000      0.074000 
          4818      0.578000      0.079067 
          5105      0.596000      0.084267 
          5417      0.615000      0.090000 
          5712      0.632000      0.095333 
          6008      0.650000      0.100800 
          6333      0.668000      0.106800 
          6640      0.686000      0.112533 
          6953      0.704000      0.118533 
          7270      0.721000      0.124400 
          7600      0.740000      0.130800 
          7907      0.757000      0.136667 
          8218      0.774000      0.142533 
          8560      0.792000      0.149333 
          8870      0.809000      0.155333 
          9202      0.827000      0.161867 
          9522      0.844000      0.168133 
          9860      0.863000      0.175067 
         10198      0.881000      0.181867 
         10523      0.898000      0.188400 
         10853      0.916000      0.195067 
         11183      0.933000      0.201867 
         11517      0.951000      0.208933 
         11862      0.969000      0.216400 
         12193      0.986000      0.223467 
         12528      1.004000      0.230667 
         12860      1.022000      0.238133 
         13197      1.040000      0.245733 
         13523      1.058000      0.253600 
         13862      1.076000      0.262000 
         14192      1.094000      0.270533 
         14510      1.112000      0.279200 
         14832      1.129000      0.288133 
         15140      1.147000      0.297200 
         15450      1.165000      0.306800 
         15747      1.182000      0.316533 
         16045      1.200000      0.326933 
         16342      1.218000      0.337733 
         16633      1.236000      0.349200 
         16905      1.253000      0.360400 
         17182      1.271000      0.372400 
         17455      1.289000      0.385333 
         17728      1.307000      0.398933 
         17982      1.325000      0.412400 
         18225      1.343000      0.426267 
         18463      1.360000      0.440400 
         18690      1.377000      0.455200 
         18907      1.395000      0.470133 
         19133      1.413000      0.486533 
         19350      1.431000      0.503333 
         19557      1.449000      0.520933 
         19748      1.466000      0.538000 
         19937      1.484000      0.555867 
         20123      1.502000      0.574533 
         20307      1.520000      0.594400 
         20468      1.538000      0.613733 
         20628      1.556000      0.633467 
         20788      1.575000      0.654533 
         20927      1.592000      0.674800 
         21067      1.609000      0.695200 
         21195      1.626000      0.715867 
         21328      1.645000      0.738533 
